.,76043828
",",61204332
og,33351486
i,29022611
det,16105052
til,15502101
som,14974125
er,14346524
på,13903408
-,13426566
av,12126146
),11931621
med,11075849
for,10490658
(,9891852
var,9265637
å,9257297
at,8845002
:,7929754
ein,7927755
dei,7878426
han,7635265
har,6331677
den,6326022
om,5603922
ikkje,5567746
seg,4948388
Det,4833785
»,4777438
«,4727220
/,4603267
kan,4167804
I,4112523
frå,4109353
eit,3990682
1,3984049
vi,3888636
?,3874698
hadde,3808057
ei,3695704
2,3515807
f,3449746
så,3437561
—,3336406
en,3302793
;,3190149
eller,3003382
a,2970911
',2857116
vart,2815586
"""",2771786
men,2741116
du,2642483
3,2578107
etter,2548920
der,2527688
ut,2515140
eg,2489611
skal,2428029
ved,2381087
Han,2191814
de,2141260
Men,2139780
ho,2124055
!,2094309
blir,1953244
over,1932920
opp,1907243
dette,1906173
m,1899947
andre,1858052
=,1798817
vil,1788256
kom,1752285
*,1686156
4,1657030
Dei,1652572
to,1649170
s,1577176
denne,1571457
må,1568035
^,1553808
inn,1541011
alle,1536181
et,1534790
også,1531026
6,1521545
når,1483347
kunne,1447017
ha,1445273
år,1402761
5,1394430
då,1355496
d,1343384
slik,1332562
Og,1329396
mot,1328419
mellom,1326980
ikke,1325524
få,1320001
skulle,1318949
her,1315419
enn,1306986
fekk,1297394
mange,1294674
sa,1270983
noko,1199101
Den,1191613
Vi,1177101
berre,1162266
meg,1152179
0,1150057
fram,1148974
+,1116695
b,1114597
no,1100837
da,1056902
under,1051446
før,1041869
meir,1041806
sin,1028209
e,1027509
Eg,1026506
the,1008123
n,1001196
vere,987240
sjå,969359
alt,966557
7,953141
fra,946098
•,944796
8,938155
gjekk,895952
ville,893982
oss,889357
[,887764
vera,887659
får,886522
10,885839
],885075
hans,879849
tok,875656
går,871737
vore,868426
Ein,862988
A,857316
tid,854810
same,853828
mykje,821445
Dette,816687
x,814256
kva,813047
c,811540
desse,805146
o,801758
g.,786812
Ho,785123
både,783022
ser,779531
>,776890
ned,767452
store,755706
stor,751789
kjem,745421
ta,745094
t,743011
godt,742937
bli,737735
1.,729167
att,727980
nok,725684
sine,724344
9,721156
deg,718527
vel,708268
dag,703122
gjennom,697864
2.,691293
For,688345
På,682675
si,674313
måtte,673990
jeg,673202
so,671980
of,670410
%,668360
gå,653546
første,645896
Kva,642225
Når,637074
saman,636087
kr,625735
sitt,624757
kvar,618826
me,617545
■,615635
heile,615458
folk,613832
12,608218
henne,607984
in,604768
sett,600354
fleire,597473
nye,590875
del,589965
r,584987
vert,579370
står,578058
sjølv,567586
anna,564679
såg,563322
Då,547700
mest,547084
gamle,543721
ingen,539808
<,539654
litt,538442
tre,537819
Så,535869
and,533126
Du,528471
ulike,523545
20,518692
ble,512618
rett,510833
utan,510712
stod,510521
\,510488
la,508308
like,496455
g,492925
|,491433
ofte,490200
J,489179
bruk,488543
De,488387
blei,481260
være,480789
H,479971
B,478070
11,476177
el,471763
~,468823
C,468298
3.,468216
Her,462694
15,457662
gjorde,454475
god,454405
garden,451581
lite,448309
siste,448231
kor,447491
langt,444111
O,440374
ligg,436748
heilt,434392
l,434286
ord,434081
gong,433492
nokre,431118
større,429525
åra,429084
...,428362
korleis,427037
S,419616
V,419320
gjort,417893
v,417368
seier,416457
mindre,415087
gjer,409721
veit,409713
Etter,409549
Oslo,407916
heller,405381
nr.,398456
000,397362
nå,396947
30,396301
bør,393350
aldri,392599
lag,389908
Ja,389365
gjeld,389065
fått,388727
Til,388687
hos,386165
tida,385657
Ola,380649
låg,380641
bort,379265
°,376940
viser,376053
14,374626
16,372402
Der,371126
likevel,370184
ny,366416
viktig,364860
13,364312
P,363727
først,362011
arbeid,360749
barn,358611
T,358538
af,358339
No,356610
Denne,356061
min,355499
alltid,353557
mann,353250
svært,352763
Da,352691
vår,352331
side,351036
paa,350820
§,348014
sette,346422
18,345170
Olav,343973
kvart,343198
kanskje,342774
Om,341897
M,341058
seinare,340413
Lars,340267
tek,339777
fordi,339421
nokon,337448
Ole,336078
talet,335867
finn,334244
50,333870
Gud,333272
rundt,332734
arbeidet,332210
ting,330950
land,330916
25,330084
Med,329492
lenge,329198
gav,328466
landet,327980
norske,327767
dem,326880
slike,325299
4.,324878
far,323714
gir,319860
Ved,318823
j,318337
G,316968
stort,316051
grunn,313898
Eit,313663
Ei,311768
Hans,311710
100,311487
u,309984
seie,309282
Som,308825
Kor,308221
bare,304319
Knut,301179
gjere,301161
gode,300314
17,299633
N,299226
man,299095
E,296961
F,296711
di,296621
noe,295590
gjera,295502
sidan,292981
h,292607
kalla,290783
dersom,290204
finne,289930
fast,289803
19,286323
lenger,285736
gjerne,285160
te,284836
Å,283296
Dersom,283050
Frå,282752
gift,282433
finst,281356
måte,281284
året,281159
all,280865
livet,280677
norsk,279872
40,279828
gi,277630
liten,276198
En,276073
derfor,275505
Jeg,275433
D,274961
pa,274880
lett,274636
igjen,274205
hun,273618
fleste,272843
føre,272572
menneske,271919
Sjå,271354
um,270904
hatt,269604
laga,269586
vanleg,269030
ca.,268907
åt,268040
heldt,267796
elles,267669
annan,265562
mål,265120
is,264551
små,263769
or,263385
Born,263112
brukt,262839
24,262340
K,262123
sat,260922
budde,260825
medan,260231
se,259326
gang,259320
hjelp,258120
Bergen,257594
ja,257322
mor,257273
særleg,257061
5.,256875
ute,256850
22,256354
Nils,256198
